Order_ID,Origin_City,Destination_City,Distance_km,Vehicle_Type,Delivery_Mode,Weather,Expected_Delivery_Days,Actual_Delivery_Days,Warehouse_ID,Warehouse_Region,Warehouse_Capacity,Warehouse_Handles_Fragile,Warehouse_Cold_Storage,Product_Name,Product_Category,Weight_kg,Stock_Quantity,Reorder_Level,In_Stock,Low_Stock_Alert,Packaging_Type,Packaging_Cost_LKR,Fragile,Requires_Cold_Storage,Total_Cost_LKR,Order_Date,Delivery_Status,On_Time
SL00011,Kandy,Dambulla,72,Three Wheeler,Economy,Foggy,4,4,WH003,Central,5000,Yes,Yes,Office Chair,Furniture,12.0,7,50,Yes,Yes,Corner guards and blankets,700,No,No,2740.0,2024-01-12,Delivered,1
SL00012,Matara,Kurunegala,224,Motorbike,Standard,Clear,2,2,WH009,Southern,3000,Yes,No,Laptop,Electronics,2.5,100,40,Yes,No,Anti-static box with foam,600,Yes,No,6350.0,2024-09-26,Delivered,1
SL00013,Kandy,Puttalam,156,Motorbike,Same-Day,Cloudy,1,1,WH003,Central,5000,Yes,Yes,Documents Package,Documents,0.5,279,50,Yes,No,Padded envelope,150,No,No,6630.0,2024-06-14,Delivered,1
SL00014,Matara,Colombo,160,Lorry,Standard,Stormy,2,2,WH009,Southern,3000,Yes,No,Furniture Set,Furniture,80.0,0,25,No,Yes,Corner guards and blankets,700,No,No,7130.0,2025-08-03,Delivered,1
SL00015,Gampaha,Kilinochchi,339,Van,Economy,Clear,5,5,WH002,Western,6000,Yes,No,Washing Machine,Appliances,40.0,292,20,Yes,No,Wooden crate,1200,No,No,8800.0,2025-07-16,Delivered,1
SL00016,Jaffna,Puttalam,237,Van,Economy,Rainy,4,4,WH005,Northern,3500,No,No,Dining Table,Furniture,35.0,393,100,Yes,No,Corner guards and blankets,700,No,No,6330.0,2025-02-12,Delivered,1
SL00017,Batticaloa,Puttalam,271,Van,Economy,Clear,4,4,WH008,Eastern,2500,No,No,Air Conditioner,Appliances,45.0,52,25,Yes,No,Wooden crate,1200,No,No,7640.0,2024-08-23,Delivered,1
SL00018,Colombo,Jaffna,400,Motorbike,Same-Day,Rainy,2,2,WH001,Western,10000,Yes,Yes,Medicine Pack,Pharmacy,0.5,1,25,Yes,Yes,Sealed insulated pack,500,No,Yes,17110.0,2024-10-12,Delivered,1
SL00019,Galle,Ampara,278,Three Wheeler,Express,Foggy,1,1,WH004,Southern,4500,Yes,No,Frozen Food Pack,Groceries,15.0,144,40,Yes,No,Insulated box,400,No,Yes,9650.0,2025-03-17,Delivered,1
SL00020,Anuradhapura,Hambantota,332,Van,Economy,Clear,5,5,WH007,North Central,3000,No,No,Air Conditioner,Appliances,45.0,350,10,Yes,No,Wooden crate,1200,No,No,8510.0,2024-12-13,Delivered,1
SL00021,Galle,Batticaloa,323,Motorbike,Express,Foggy,2,2,WH004,Southern,4500,Yes,No,Laptop,Electronics,2.5,236,20,Yes,No,Anti-static box with foam,600,Yes,No,11780.0,2024-03-18,Delivered,1
SL00022,Matara,Jaffna,541,Van,Same-Day,Foggy,2,2,WH009,Southern,3000,Yes,No,Auto Spare Parts,Auto Parts,25.0,67,20,Yes,No,Reinforced carton,450,No,No,24170.0,2025-02-14,Delivered,1
SL00023,Kandy,Vavuniya,211,Three Wheeler,Same-Day,Stormy,1,2,WH003,Central,5000,Yes,Yes,LED Television,Electronics,15.0,252,25,Yes,No,Anti-static box with foam,600,Yes,No,10880.0,2025-07-23,Delivered,0
SL00024,Kandy,Batticaloa,165,Three Wheeler,Standard,Rainy,2,2,WH003,Central,5000,Yes,Yes,Frozen Food Pack,Groceries,15.0,316,100,Yes,No,Insulated box,400,No,Yes,4610.0,2024-11-17,Delivered,1
SL00025,Colombo,Polonnaruwa,225,Three Wheeler,Economy,Foggy,4,5,WH001,Western,10000,Yes,Yes,LED Television,Electronics,15.0,291,20,Yes,No,Anti-static box with foam,600,Yes,No,4970.0,2024-07-09,Delivered,0
SL00026,Negombo,Galle,179,Van,Express,Stormy,1,1,WH010,Western,4000,Yes,Yes,Washing Machine,Appliances,40.0,15,50,Yes,Yes,Wooden crate,1200,No,No,8600.0,2024-03-24,Delivered,1
SL00027,Negombo,Polonnaruwa,196,Three Wheeler,Standard,Cloudy,2,2,WH010,Western,4000,Yes,Yes,Cotton Clothing Bale,Clothing,8.0,386,25,Yes,No,Poly mailer bag,120,No,No,4900.0,2024-05-14,Delivered,1
SL00028,Batticaloa,Badulla,139,Three Wheeler,Same-Day,Clear,1,1,WH008,Eastern,2500,No,No,Books Bundle,Books,10.0,308,10,Yes,No,Corrugated box,200,No,No,6980.0,2025-06-02,Delivered,1
SL00029,Kandy,Nuwara Eliya,75,Three Wheeler,Same-Day,Rainy,1,1,WH003,Central,5000,Yes,Yes,Fresh Vegetables Crate,Groceries,20.0,100,40,Yes,No,Insulated box,400,No,Yes,5370.0,2025-06-25,Delivered,1
SL00030,Matara,Ratnapura,107,Lorry,Same-Day,Rainy,1,1,WH009,Southern,3000,Yes,No,Refrigerator,Appliances,55.0,74,100,Yes,Yes,Wooden crate,1200,No,No,9080.0,2024-10-15,Delivered,1
SL00031,Kurunegala,Trincomalee,199,Three Wheeler,Standard,Foggy,2,5,WH006,North Western,4000,Yes,No,Ceramic Dinnerware Set,Fragile Items,6.0,46,10,Yes,No,Bubble wrap and double box,850,Yes,No,5430.0,2024-12-07,Delayed,0
SL00032,Jaffna,Trincomalee,233,Three Wheeler,Economy,Foggy,4,4,WH005,Northern,3500,No,No,Office Chair,Furniture,12.0,307,10,Yes,No,Corner guards and blankets,700,No,No,5720.0,2024-06-01,Delivered,1
SL00033,Colombo,Nuwara Eliya,180,Lorry,Express,Stormy,1,2,WH001,Western,10000,Yes,Yes,Furniture Set,Furniture,80.0,5,25,Yes,Yes,Corner guards and blankets,700,No,No,10260.0,2024-09-12,Delivered,0
SL00034,Kurunegala,Ampara,191,Motorbike,Economy,Foggy,4,5,WH006,North Western,4000,Yes,No,Laptop,Electronics,2.5,141,20,Yes,No,Anti-static box with foam,600,Yes,No,4030.0,2024-12-06,Delivered,0
SL00035,Galle,Kurunegala,212,Three Wheeler,Express,Clear,1,1,WH004,Southern,4500,Yes,No,Cotton Clothing Bale,Clothing,8.0,39,40,Yes,Yes,Poly mailer bag,120,No,No,7220.0,2025-04-16,Delivered,1
SL00036,Jaffna,Matara,541,Van,Express,Clear,2,2,WH005,Northern,3500,No,No,Air Conditioner,Appliances,45.0,224,25,Yes,No,Wooden crate,1200,No,No,21740.0,2024-10-12,Delivered,1
SL00037,Matara,Vavuniya,404,Van,Standard,Clear,3,3,WH009,Southern,3000,Yes,No,Air Conditioner,Appliances,45.0,5,20,Yes,Yes,Wooden crate,1200,No,No,12860.0,2024-09-28,Delivered,1
SL00038,Gampaha,Kegalle,56,Three Wheeler,Economy,Cloudy,4,4,WH002,Western,6000,Yes,No,LED Television,Electronics,15.0,180,40,Yes,No,Anti-static box with foam,600,Yes,No,2420.0,2024-04-28,Delivered,1
SL00039,Negombo,Batticaloa,276,Motorbike,Standard,Clear,2,2,WH010,Western,4000,Yes,Yes,Glass Vase Set,Fragile Items,4.0,20,50,Yes,Yes,Bubble wrap and double box,850,Yes,No,7630.0,2024-07-20,Delivered,1
SL00040,Anuradhapura,Galle,330,Van,Standard,Foggy,3,3,WH007,North Central,3000,No,No,Air Conditioner,Appliances,45.0,83,100,Yes,Yes,Wooden crate,1200,No,No,10680.0,2024-11-30,Delivered,1
SL00041,Jaffna,Ampara,415,Motorbike,Express,Rainy,2,2,WH005,Northern,3500,No,No,Glass Vase Set,Fragile Items,4.0,214,100,Yes,No,Bubble wrap and double box,850,Yes,No,15190.0,2025-08-05,Failed,0
SL00042,Anuradhapura,Ampara,234,Three Wheeler,Same-Day,Cloudy,1,1,WH007,North Central,3000,No,No,Books Bundle,Books,10.0,240,50,Yes,No,Corrugated box,200,No,No,10970.0,2025-04-21,Delivered,1
SL00043,Batticaloa,Dambulla,151,Van,Express,Foggy,1,2,WH008,Eastern,2500,No,No,Auto Spare Parts,Auto Parts,25.0,396,20,Yes,No,Reinforced carton,450,No,No,6970.0,2024-12-09,Delayed,0
SL00044,Galle,Dambulla,271,Van,Standard,Rainy,2,2,WH004,Southern,4500,Yes,No,Washing Machine,Appliances,40.0,95,10,Yes,No,Wooden crate,1200,No,No,8630.0,2025-05-01,Delivered,1
SL00045,Batticaloa,Hambantota,245,Van,Express,Stormy,1,4,WH008,Eastern,2500,No,No,Washing Machine,Appliances,40.0,144,20,Yes,No,Wooden crate,1200,No,No,11630.0,2024-04-19,Delayed,0
SL00046,Galle,Trincomalee,394,Three Wheeler,Economy,Clear,5,5,WH004,Southern,4500,Yes,No,Cotton Clothing Bale,Clothing,8.0,82,40,Yes,No,Poly mailer bag,120,No,No,7910.0,2025-06-27,Delivered,1
SL00047,Negombo,Badulla,177,Lorry,Economy,Foggy,4,4,WH010,Western,4000,Yes,Yes,Furniture Set,Furniture,80.0,278,40,Yes,No,Corner guards and blankets,700,No,No,6060.0,2025-05-01,Delivered,1
SL00048,Jaffna,Matara,541,Van,Standard,Foggy,3,3,WH005,Northern,3500,No,No,Auto Spare Parts,Auto Parts,25.0,142,25,Yes,No,Reinforced carton,450,No,No,13260.0,2024-10-05,Delivered,1
SL00049,Kurunegala,Ampara,191,Motorbike,Same-Day,Rainy,1,1,WH006,North Western,4000,Yes,No,Mobile Phone,Electronics,0.3,7,100,Yes,Yes,Anti-static box with foam,600,Yes,No,9060.0,2024-03-06,Delivered,1
SL00050,Anuradhapura,Badulla,212,Three Wheeler,Economy,Stormy,4,5,WH007,North Central,3000,No,No,Cotton Clothing Bale,Clothing,8.0,14,40,Yes,Yes,Poly mailer bag,120,No,No,4410.0,2024-01-21,Delivered,0
SL00051,Batticaloa,Colombo,310,Motorbike,Standard,Cloudy,3,3,WH008,Eastern,2500,No,No,Glass Vase Set,Fragile Items,4.0,234,50,Yes,No,Bubble wrap and double box,850,Yes,No,8460.0,2024-08-13,Failed,0
SL00052,Galle,Kurunegala,212,Three Wheeler,Economy,Stormy,4,8,WH004,Southern,4500,Yes,No,Frozen Food Pack,Groceries,15.0,0,25,No,Yes,Insulated box,400,No,Yes,4990.0,2025-04-23,Delayed,0
SL00053,Negombo,Ampara,264,Three Wheeler,Same-Day,Stormy,1,2,WH010,Western,4000,Yes,Yes,Office Chair,Furniture,12.0,359,10,Yes,No,Corner guards and blankets,700,No,No,11940.0,2025-04-17,Delivered,0
SL00054,Colombo,Kurunegala,95,Van,Economy,Cloudy,4,4,WH001,Western,10000,Yes,Yes,Dining Table,Furniture,35.0,187,25,Yes,No,Corner guards and blankets,700,No,No,3820.0,2024-10-11,Failed,0
SL00055,Jaffna,Galle,525,Three Wheeler,Economy,Clear,5,5,WH005,Northern,3500,No,No,Cotton Clothing Bale,Clothing,8.0,46,25,Yes,No,Poly mailer bag,120,No,No,10130.0,2024-02-11,Delivered,1
SL00056,Galle,Batticaloa,323,Lorry,Same-Day,Foggy,2,3,WH004,Southern,4500,Yes,No,Refrigerator,Appliances,55.0,3,40,Yes,Yes,Wooden crate,1200,No,No,17470.0,2024-09-19,Delayed,0
SL00057,Kandy,Kegalle,40,Van,Same-Day,Rainy,1,1,WH003,Central,5000,Yes,Yes,Air Conditioner,Appliances,45.0,75,50,Yes,No,Wooden crate,1200,No,No,6590.0,2025-08-12,Delivered,1
SL00058,Anuradhapura,Monaragala,248,Motorbike,Express,Clear,1,1,WH007,North Central,3000,No,No,Glass Vase Set,Fragile Items,4.0,341,20,Yes,No,Bubble wrap and double box,850,Yes,No,9450.0,2024-11-04,Delivered,1
SL00059,Negombo,Kandy,113,Motorbike,Standard,Foggy,2,3,WH010,Western,4000,Yes,Yes,Laptop,Electronics,2.5,209,10,Yes,No,Anti-static box with foam,600,Yes,No,3270.0,2025-03-06,Delivered,0
SL00060,Gampaha,Vavuniya,250,Three Wheeler,Standard,Stormy,2,6,WH002,Western,6000,Yes,No,Frozen Food Pack,Groceries,15.0,242,20,Yes,No,Insulated box,400,No,Yes,6580.0,2025-07-05,Delayed,0
SL00061,Batticaloa,Hambantota,245,Three Wheeler,Standard,Cloudy,2,2,WH008,Eastern,2500,No,No,Frozen Food Pack,Groceries,15.0,64,25,Yes,No,Insulated box,400,No,Yes,6440.0,2025-04-20,Delivered,1
SL00062,Kurunegala,Colombo,95,Motorbike,Economy,Cloudy,4,4,WH006,North Western,4000,Yes,No,Glass Vase Set,Fragile Items,4.0,4,25,Yes,Yes,Bubble wrap and double box,850,Yes,No,2840.0,2024-10-09,Delivered,1
SL00063,Colombo,Puttalam,130,Lorry,Express,Clear,1,1,WH001,Western,10000,Yes,Yes,Furniture Set,Furniture,80.0,228,40,Yes,No,Corner guards and blankets,700,No,No,9460.0,2025-05-02,Delivered,1
SL00064,Batticaloa,Colombo,310,Three Wheeler,Same-Day,Cloudy,2,2,WH008,Eastern,2500,No,No,Frozen Food Pack,Groceries,15.0,374,20,Yes,No,Insulated box,400,No,Yes,14630.0,2025-01-12,Delivered,1
SL00065,Matara,Puttalam,317,Three Wheeler,Standard,Stormy,3,4,WH009,Southern,3000,Yes,No,Frozen Food Pack,Groceries,15.0,301,25,Yes,No,Insulated box,400,No,Yes,8020.0,2024-09-14,Delivered,0
SL00066,Gampaha,Kilinochchi,339,Motorbike,Express,Cloudy,2,2,WH002,Western,6000,Yes,No,Medicine Pack,Pharmacy,0.5,9,100,Yes,Yes,Sealed insulated pack,500,No,Yes,11010.0,2025-05-10,Delivered,1
SL00067,Negombo,Puttalam,95,Three Wheeler,Standard,Clear,2,2,WH010,Western,4000,Yes,Yes,Fresh Vegetables Crate,Groceries,20.0,171,20,Yes,No,Insulated box,400,No,Yes,3370.0,2024-01-15,Delivered,1
SL00068,Kandy,Kurunegala,42,Lorry,Same-Day,Clear,1,3,WH003,Central,5000,Yes,Yes,Furniture Set,Furniture,80.0,377,20,Yes,No,Corner guards and blankets,700,No,No,7580.0,2024-01-13,Delayed,0
SL00069,Batticaloa,Gampaha,261,Three Wheeler,Economy,Cloudy,4,4,WH008,Eastern,2500,No,No,Books Bundle,Books,10.0,1,25,Yes,Yes,Corrugated box,200,No,No,5080.0,2024-03-07,Delivered,1
SL00070,Batticaloa,Galle,323,Motorbike,Same-Day,Rainy,2,2,WH008,Eastern,2500,No,No,Glass Vase Set,Fragile Items,4.0,10,25,Yes,Yes,Bubble wrap and double box,850,Yes,No,15580.0,2024-05-01,Delivered,1
SL00071,Anuradhapura,Kegalle,153,Lorry,Express,Foggy,1,2,WH007,North Central,3000,No,No,Furniture Set,Furniture,80.0,246,25,Yes,No,Corner guards and blankets,700,No,No,9580.0,2024-03-02,Delivered,0
SL00072,Galle,Chilaw,232,Motorbike,Express,Cloudy,1,1,WH004,Southern,4500,Yes,No,Laptop,Electronics,2.5,100,20,Yes,No,Anti-static box with foam,600,Yes,No,8430.0,2024-06-09,Delivered,1
SL00073,Anuradhapura,Kalutara,257,Lorry,Economy,Cloudy,4,6,WH007,North Central,3000,No,No,Refrigerator,Appliances,55.0,0,25,No,Yes,Wooden crate,1200,No,No,7790.0,2025-04-09,Delayed,0
SL00074,Galle,Kurunegala,212,Van,Express,Stormy,1,2,WH004,Southern,4500,Yes,No,Washing Machine,Appliances,40.0,4,100,Yes,Yes,Wooden crate,1200,No,No,10670.0,2024-03-14,Delivered,0
SL00075,Kandy,Ratnapura,94,Three Wheeler,Standard,Stormy,2,5,WH003,Central,5000,Yes,Yes,LED Television,Electronics,15.0,12,25,Yes,Yes,Anti-static box with foam,600,Yes,No,3530.0,2025-05-20,Delayed,0
SL00076,Gampaha,Kegalle,56,Van,Same-Day,Stormy,1,1,WH002,Western,6000,Yes,No,Auto Spare Parts,Auto Parts,25.0,329,25,Yes,No,Reinforced carton,450,No,No,5140.0,2025-08-12,Delivered,1
SL00077,Jaffna,Polonnaruwa,285,Lorry,Same-Day,Rainy,1,1,WH005,Northern,3500,No,No,Refrigerator,Appliances,55.0,353,40,Yes,No,Wooden crate,1200,No,No,15920.0,2025-08-22,Delivered,1
SL00078,Batticaloa,Galle,323,Three Wheeler,Economy,Cloudy,5,5,WH008,Eastern,2500,No,No,Cotton Clothing Bale,Clothing,8.0,184,100,Yes,No,Poly mailer bag,120,No,No,6650.0,2024-12-03,Delivered,1
SL00079,Batticaloa,Ratnapura,239,Three Wheeler,Economy,Foggy,4,4,WH008,Eastern,2500,No,No,Cotton Clothing Bale,Clothing,8.0,0,10,No,Yes,Poly mailer bag,120,No,No,4580.0,2025-02-17,Delivered,1
SL00080,Colombo,Dambulla,148,Motorbike,Economy,Stormy,4,5,WH001,Western,10000,Yes,Yes,Documents Package,Documents,0.5,0,50,No,Yes,Padded envelope,150,No,No,3040.0,2025-03-28,Delivered,0
SL00081,Galle,Kurunegala,212,Three Wheeler,Express,Cloudy,1,1,WH004,Southern,4500,Yes,No,LED Television,Electronics,15.0,377,40,Yes,No,Anti-static box with foam,600,Yes,No,7820.0,2024-09-02,Delivered,1
SL00082,Jaffna,Ampara,415,Van,Same-Day,Foggy,2,3,WH005,Northern,3500,No,No,Dining Table,Furniture,35.0,135,10,Yes,No,Corner guards and blankets,700,No,No,20490.0,2024-06-06,Delivered,0
SL00083,Jaffna,Puttalam,237,Three Wheeler,Standard,Stormy,2,2,WH005,Northern,3500,No,No,Frozen Food Pack,Groceries,15.0,261,20,Yes,No,Insulated box,400,No,Yes,6400.0,2025-06-04,Delivered,1
SL00084,Gampaha,Matara,182,Three Wheeler,Economy,Cloudy,4,4,WH002,Western,6000,Yes,No,Office Chair,Furniture,12.0,279,25,Yes,No,Corner guards and blankets,700,No,No,4390.0,2024-11-01,Delivered,1
SL00085,Kandy,Kalutara,140,Three Wheeler,Economy,Cloudy,4,4,WH003,Central,5000,Yes,Yes,Frozen Food Pack,Groceries,15.0,298,40,Yes,No,Insulated box,400,No,Yes,3770.0,2024-07-12,Delivered,1
SL00086,Negombo,Vavuniya,241,Motorbike,Express,Stormy,1,2,WH010,Western,4000,Yes,Yes,Medicine Pack,Pharmacy,0.5,0,100,No,Yes,Sealed insulated pack,500,No,Yes,8820.0,2025-01-30,Delivered,0
SL00087,Batticaloa,Kandy,165,Three Wheeler,Express,Foggy,1,1,WH008,Eastern,2500,No,No,Office Chair,Furniture,12.0,189,10,Yes,No,Corner guards and blankets,700,No,No,7250.0,2024-01-16,Delivered,1
SL00088,Anuradhapura,Chilaw,136,Three Wheeler,Express,Clear,1,4,WH007,North Central,3000,No,No,Office Chair,Furniture,12.0,155,25,Yes,No,Corner guards and blankets,700,No,No,5870.0,2024-03-23,Delayed,0
SL00089,Matara,Vavuniya,404,Motorbike,Standard,Stormy,3,3,WH009,Southern,3000,Yes,No,Mobile Phone,Electronics,0.3,38,50,Yes,Yes,Anti-static box with foam,600,Yes,No,10150.0,2024-10-21,Delivered,1
SL00090,Gampaha,Vavuniya,250,Motorbike,Same-Day,Clear,1,1,WH002,Western,6000,Yes,No,Medicine Pack,Pharmacy,0.5,375,25,Yes,No,Sealed insulated pack,500,No,Yes,10380.0,2024-02-27,Delivered,1
SL00091,Kurunegala,Nuwara Eliya,95,Three Wheeler,Economy,Rainy,4,5,WH006,North Western,4000,Yes,No,Books Bundle,Books,10.0,230,50,Yes,No,Corrugated box,200,No,No,2310.0,2024-03-21,Delayed,0
SL00092,Negombo,Dambulla,149,Motorbike,Express,Stormy,1,2,WH010,Western,4000,Yes,Yes,Glass Vase Set,Fragile Items,4.0,93,20,Yes,No,Bubble wrap and double box,850,Yes,No,6080.0,2024-01-10,Delivered,0
SL00093,Jaffna,Dambulla,275,Van,Express,Clear,1,1,WH005,Northern,3500,No,No,Auto Spare Parts,Auto Parts,25.0,196,50,Yes,No,Reinforced carton,450,No,No,10880.0,2025-03-10,Delivered,1
SL00094,Batticaloa,Ratnapura,239,Three Wheeler,Express,Stormy,1,1,WH008,Eastern,2500,No,No,Fresh Vegetables Crate,Groceries,20.0,74,20,Yes,No,Insulated box,400,No,Yes,9350.0,2024-10-29,Delivered,1
SL00095,Anuradhapura,Kurunegala,110,Lorry,Same-Day,Foggy,1,1,WH007,North Central,3000,No,No,Refrigerator,Appliances,55.0,45,50,Yes,Yes,Wooden crate,1200,No,No,10200.0,2024-10-20,Failed,0
SL00096,Negombo,Nuwara Eliya,137,Motorbike,Express,Rainy,1,1,WH010,Western,4000,Yes,Yes,Medicine Pack,Pharmacy,0.5,367,100,Yes,No,Sealed insulated pack,500,No,Yes,5330.0,2024-05-20,Failed,0
SL00097,Colombo,Ratnapura,100,Motorbike,Economy,Clear,4,4,WH001,Western,10000,Yes,Yes,Laptop,Electronics,2.5,394,20,Yes,No,Anti-static box with foam,600,Yes,No,2850.0,2024-11-30,Delivered,1
SL00098,Kandy,Batticaloa,165,Three Wheeler,Express,Foggy,1,2,WH003,Central,5000,Yes,Yes,Cotton Clothing Bale,Clothing,8.0,207,50,Yes,No,Poly mailer bag,120,No,No,6350.0,2024-09-20,Delivered,0
SL00099,Jaffna,Kilinochchi,70,Three Wheeler,Standard,Clear,2,2,WH005,Northern,3500,No,No,Frozen Food Pack,Groceries,15.0,58,20,Yes,No,Insulated box,400,No,Yes,2970.0,2025-02-10,Failed,0
SL00100,Kurunegala,Galle,212,Lorry,Economy,Clear,4,4,WH006,North Western,4000,Yes,No,Furniture Set,Furniture,80.0,83,40,Yes,No,Corner guards and blankets,700,No,No,7150.0,2024-09-25,Delivered,1
SL00101,Kurunegala,Jaffna,317,Motorbike,Express,Stormy,2,3,WH006,North Western,4000,Yes,No,Glass Vase Set,Fragile Items,4.0,0,50,No,Yes,Bubble wrap and double box,850,Yes,No,10900.0,2024-03-05,Delivered,0
SL00102,Jaffna,Chilaw,302,Van,Economy,Clear,5,5,WH005,Northern,3500,No,No,Auto Spare Parts,Auto Parts,25.0,1,25,Yes,Yes,Reinforced carton,450,No,No,6410.0,2024-08-28,Delivered,1
SL00103,Kandy,Vavuniya,211,Lorry,Economy,Cloudy,4,4,WH003,Central,5000,Yes,Yes,Furniture Set,Furniture,80.0,400,100,Yes,No,Corner guards and blankets,700,No,No,6880.0,2024-06-07,Delivered,1
SL00104,Gampaha,Kalutara,73,Three Wheeler,Economy,Cloudy,4,4,WH002,Western,6000,Yes,No,Cotton Clothing Bale,Clothing,8.0,0,25,No,Yes,Poly mailer bag,120,No,No,1870.0,2024-08-29,Delivered,1
SL00105,Gampaha,Dambulla,146,Van,Standard,Foggy,2,2,WH002,Western,6000,Yes,No,Air Conditioner,Appliances,45.0,350,25,Yes,No,Wooden crate,1200,No,No,6080.0,2024-05-05,Delivered,1
SL00106,Gampaha,Dambulla,146,Van,Express,Foggy,1,2,WH002,Western,6000,Yes,No,Auto Spare Parts,Auto Parts,25.0,45,25,Yes,No,Reinforced carton,450,No,No,6920.0,2024-07-29,Delivered,0
SL00107,Matara,Trincomalee,391,Van,Express,Rainy,2,2,WH009,Southern,3000,Yes,No,Washing Machine,Appliances,40.0,95,50,Yes,No,Wooden crate,1200,No,No,15290.0,2024-05-28,Delivered,1
SL00108,Matara,Kurunegala,224,Three Wheeler,Express,Clear,1,1,WH009,Southern,3000,Yes,No,Office Chair,Furniture,12.0,33,20,Yes,No,Corner guards and blankets,700,No,No,8520.0,2024-08-31,Delivered,1
SL00109,Colombo,Trincomalee,260,Motorbike,Standard,Clear,2,2,WH001,Western,10000,Yes,Yes,Mobile Phone,Electronics,0.3,7,50,Yes,Yes,Anti-static box with foam,600,Yes,No,6920.0,2025-05-02,Delivered,1
SL00110,Kurunegala,Puttalam,108,Van,Same-Day,Stormy,1,4,WH006,North Western,4000,Yes,No,Auto Spare Parts,Auto Parts,25.0,334,10,Yes,No,Reinforced carton,450,No,No,6870.0,2024-02-01,Delayed,0
SL00111,Batticaloa,Vavuniya,227,Three Wheeler,Economy,Clear,4,4,WH008,Eastern,2500,No,No,LED Television,Electronics,15.0,247,10,Yes,No,Anti-static box with foam,600,Yes,No,5180.0,2024-05-31,Delivered,1
SL00112,Kandy,Kurunegala,42,Van,Standard,Stormy,2,2,WH003,Central,5000,Yes,Yes,Washing Machine,Appliances,40.0,291,25,Yes,No,Wooden crate,1200,No,No,3820.0,2024-04-27,Delivered,1
SL00113,Galle,Hambantota,120,Lorry,Economy,Rainy,4,4,WH004,Southern,4500,Yes,No,Furniture Set,Furniture,80.0,252,40,Yes,No,Corner guards and blankets,700,No,No,5520.0,2024-11-16,Delivered,1
SL00114,Kurunegala,Dambulla,67,Three Wheeler,Standard,Cloudy,2,2,WH006,North Western,4000,Yes,No,Cotton Clothing Bale,Clothing,8.0,371,40,Yes,No,Poly mailer bag,120,No,No,2070.0,2024-03-28,Delivered,1
